gtin;ndFreeOfAlcohol;gln;regulatedProdName;functionalName;labelDescription;TradeItemDescr;ingredient_informatie
2,26307E+12;;1,09421E+12;Gebakje met 21% frambozenvulling en 6% macaron;;AH Midi tartelette frambozen macaron;Midi tartelette - frambozen macaron;Ingrediënten: TARWEbloem, 19% slagROOM, suiker, fruit (9% framboos, 0,3% rode aalbes), BOTERvet, volle MELK, water, dextrose, cacaoboter, AMANDEL, vrije-uitloopEI, glucosestroop, scharrelEI-eiwit, volleMELKpoeder, gemodificeerd maiszetmeel, kleurstof (caroteen), palmvet, zetmeel (mais, TARWE), zout, cacaomassa, LACTOSE, magereMELKpoeder, stabilisator (E407), WEIpoeder, sheaboter, conserveermiddel (E200), emulgator (SOJAlecithine, lecithine, E471), varkensgelatine, geleermiddel (E339), natuurlijk vanillearoma, verdikkingsmiddel (pectine), zuurteregelaar (citroenzuur, E331), vanillearoma, BOTERolie, natuurlijk aroma, gekaramelliseerde suikerstroop, citrusvezel, Bourbonvanille.
2,26335E+12;;1,09421E+12;Gebakje met 35% appel-abrikozenvulling en 9.5% amandelspijs;;AH Midi appel-abrikoostaartje;Midi appel-abrikoostaartje;Ingrediënten: fruit (22% appel, 12% abrikoos), suiker, TARWEbloem, ROOMBOTER, water, glucosestroop, volle MELK, 2% AMANDEL, scharrelEI, kaneel, gemodificeerd zetmeel (mais, aardappel), TARWEGLUTEN, dextrose, stabilisator (sorbitol), rijsmiddel (E450, E500), geleermiddel (pectine, E339, E407), palmvet, verdikkingsmiddel (xanthaangom, E466), gejodeerd zout, maiszetmeel, citroenschil, citroensapconcentraat, voedingszuur (citroenzuur), conserveermiddel (E202), natuurlijke aroma's, kleurstof (caroteen), natuurlijk vanillearoma, zuurteregelaar (E331, E333), vanillearoma, antioxidant (E223).
2,26434E+12;;1,09421E+12;;;;Broodje Zalm;
2,26517E+12;;1,09421E+12;Brownie met 15% chocoladeslagroom. pecannootstukjes en 3% chocoladedecoratie Met 5% pure chocolade;;AH Midi longeur pure chocolade met pecannnoten;Midi longeur choco pecan;Ingrediënten: suiker, 15% slagROOM, TARWEbloem, ROOMBOTER, scharrelEI, cacaomassa, volleMELKpoeder, 2,5% PECANNOOT, cacaopoeder, water, raapolie, cacaoboter, invertsuikerstroop, gejodeerd zout, magere cacaopoeder, emulgator (SOJAlecithine, E471), stabilisator (E407), varkensgelatine, MELKvet, magereMELKpoeder, LACTOSE, natuurlijk vanillearoma, BOTERolie.
2,26518E+12;;1,09421E+12;Sinaasappelgebakje met 14% wittechocoladeslagroom. pistachenootstukjes en 2.5% melkchocoladedecoratie Met 2.5% witte chocolade;;AH Midi longeur witte chocolade met sinaasappel en pistache;Midi longeur choco sinaasappel;Ingrediënten: suiker, TARWEbloem, 14% slagROOM, ROOMBOTER, scharrelEI, volleMELKpoeder, 4,5% PISTACHENOOT, cacaoboter, 2,5% sinaasappelsap, 2,5% sinaasappelschil, 1,5% sinaasappelpulp, invertsuikerstroop, gejodeerd zout, cacaomassa, emulgator (SOJAlecithine, E433, E471), water, natuurlijk aroma, gemodificeerd aardappelzetmeel, magereMELKpoeder, kleurstof (paprika-extract, annatto), stabilisator (E407), varkensgelatine, natuurlijk vanillearoma, LACTOSE, glucosestroop, BOTERolie, gekaramelliseerde suikerstroop, Bourbonvanille.
2,2657E+12;;1,09421E+12;;;;Broodgarantie gratis artikel;
2,27E+12;;1,09421E+12;;;;Geroosterde cashewnoten ongezouten;
2,27174E+12;;1,09421E+12;;;;Ger amandelen in vlies ongezouten;
2,27233E+12;;1,09421E+12;;;;Ger amandelen in vlies met zeezout;
2,27271E+12;;1,09421E+12;;;;Geroosterde pecannoten ongezouten;
2,27619E+12;;1,09421E+12;Half volkoren tarwebrood met 1.1% volkoren roggemout;;AH Klassiek Rond Volkoren Half (OO);AH - Klassiek rond volkoren half;"Ingrediënten: volkoren TARWEmeel, water, TARWEGLUTEN, bakkersgist, volkoren ROGGEmout, gejodeerd zout, zetmeel (TARWE, aardappel), dextrose, emulgator (natriumstearoyl-2-lactylaat [E481], mono- en diglyceriden van vetzuren, veresterd met monoacetyl- en diacetylwijnsteenzuur [E472e]), volkoren moutmeel (TARWE, GERST), maltodextrine, meelverbeteraar (ascorbinezuur [E300]).
Waarvan toegevoegde suikers 0.5g per 100 gram en waarvan toegevoegd zout 0.86g per 100 gram"
2,27822E+12;;1,09421E+12;;;;FS comp Shoarmavlees;
2,27886E+12;;1,09421E+12;;;;FS comp Cherrytomaatjes;
2,27888E+12;;1,09421E+12;;;;FS comp Gorgonzola;
2,2791E+12;;1,09421E+12;;;;FS comp Champignons gesneden;
2,27917E+12;;1,09421E+12;;;;FS comp Gedroogde ham;
2,27919E+12;;1,09421E+12;;;;FS comp 3 Kazen mix;
2,28E+12;;1,09421E+12;;;;Geroosterde cashewnoten met zeezout;
2,28011E+12;;1,09421E+12;;;;FS comp Mozzarella plakjes;
2,28012E+12;;1,09421E+12;;;;FS comp Plakken pepperoni;
2,28076E+12;;1,09421E+12;;;;Geroosterde pecannoten met zeezout;
2,28104E+12;;1,09421E+12;;;;Geroosterde pistachenoten met zout;
2,28354E+12;;1,09421E+12;;;;Ongebrande walnoten ongezouten;
2,28438E+12;;1,09421E+12;;;;Ger notenmix macadamia ongezouten;
2,2844E+12;;1,09421E+12;;;;Ger notenmix macadamia met zeezout;
2,28575E+12;;1,09421E+12;;;;FS comp Geraspte mozarella;
2,28577E+12;;1,09421E+12;;;;FS comp Basis tomatensaus;
2,28786E+12;;1,09421E+12;;;;Fs comp Penne;
2,28787E+12;;1,09421E+12;;;;Fs comp Spaghetti alla chitarra;
2,2879E+12;;1,09421E+12;;;;Fs comp Penne spelt volkoren BIO;
2,28858E+12;;1,09421E+12;;;;Fs comp Ravioli ricotta spinazie;
2,28894E+12;;1,09421E+12;;;;Fs comp Tortelloni prosciutto cotto;
2,28896E+12;;1,09421E+12;;;;Fs comp tomatensaus met groenten;
2,28897E+12;;1,09421E+12;;;;Fs comp bolognaisesaus;
2,28899E+12;;1,09421E+12;;;;Fs comp tomaten mascarpone saus;
2,289E+12;;1,09421E+12;;;;Fs comp carbonarasaus;
2,28909E+12;;1,09421E+12;;;;Carbonarasaus;
2,28912E+12;;1,09421E+12;;;;Tomaten mascarpone saus;
2,28923E+12;;1,09421E+12;;;;Bolognaisesaus;
2,28924E+12;;1,09421E+12;;;;Groenten tomatensaus;
2,28925E+12;;1,09421E+12;;;;Tortelloni prosciutto cotto;
2,29018E+12;;1,09421E+12;;;;Geroosterde macadamia met zeezout;
2,29021E+12;;1,09421E+12;;;;Geroosterde macadamia ongezouten;
2,29962E+12;;1,09421E+12;;;;FS comp Slamix de luxe;
2,29963E+12;;1,09421E+12;;;;FS comp Pulled chicken;
2,29965E+12;;1,09421E+12;;;;Ravioli ricotta spinazie;
2,29966E+12;;1,09421E+12;;;;FS comp Avocado blokjes;
2,29975E+12;;1,09421E+12;;;;Ongebrande cranberrymelange;
2,29976E+12;;1,09421E+12;;;;Geroosterde hazelnoten wit ongezouten;
2,29979E+12;;1,09421E+12;;;;Ongebrande notenmelange;
3,70064E+12;;1,09421E+12;;;;WITTE WIJN SHIROI BEL;
3,7602E+12;;1,09421E+12;;;;California roll;
3,7602E+12;;1,09421E+12;;;;Spicy cali roll;
3,7602E+12;;1,09421E+12;;;;Crunch cali roll;
3,7602E+12;;1,09421E+12;;;;Cheese cali roll;
3,7602E+12;;1,09421E+12;;;;Veggie roll;
3,7602E+12;;1,09421E+12;;;;Crunch veggie roll;
3,7602E+12;;1,09421E+12;;;;Avocado roll;
3,7602E+12;;1,09421E+12;;;;Rainbow roll;
3,7602E+12;;1,09421E+12;;;;Dynamite roll;
3,7602E+12;;1,09421E+12;;;;Spicy roll tonijn;
3,7602E+12;;1,09421E+12;;;;Spicy roll zalm;
